"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2002 General Election","ADAMS","Governor","StateWide","Republican","FISHER, MIKE","15,950","15,950","","","","","","","","","",""
"2002 General Election","ADAMS","Governor","StateWide","Democratic","RENDELL, ED","7,732","7,732","","","","","","","","","",""
"2002 General Election","ADAMS","Governor","StateWide","Green","MORRILL, MICHAEL","292","292","","","","","","","","","",""
"2002 General Election","ADAMS","Governor","StateWide","Libertarian","KRAWCHUK, KEN V.","199","199","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","19,886","19,886","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Green","PRICE, BEN","1,446","1,446","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in Congress","19th Congressional District","Libertarian","PAOLETTA, MICHAEL MICKEY","950","950","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MAITLAND, STEPHEN R.","11,795","11,795","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","BERG, MARK D.","4,032","4,032","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","6,176","6,176","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","PANEBAKER, BILL","2,104","2,104","","","","","","","","","",""
"2002 General Election","ADAMS","Volunteer Fire And Emergency Services Referendum","","","","0","14,448","6,279","0","","","0","","","0","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Republican","FISHER, MIKE","169,414","169,414","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Democratic","RENDELL, ED","209,708","209,708","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Green","MORRILL, MICHAEL","4,991","4,991","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Governor","StateWide","Libertarian","KRAWCHUK, KEN V.","6,673","6,673","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","HART, MELISSA","63,374","63,374","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","DROBAC, STEVAN","27,873","27,873","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","CHOBY, BILL","312","312","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MURTHA, JOHN P.","832","832","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MIKE","123,323","123,323","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Republican","MURPHY, TIM","69,533","69,533","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","MACHEK, JACK","44,962","44,962","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Republican","TOMSON, TED","16,168","16,168","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Democratic","FERLO, JIM","34,092","34,092","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE C.","40,049","40,049","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Democratic","DEMARCO, DAN","17,939","17,939","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Republican","STEPNICK, THOMAS","16,952","16,952","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Democratic","WAGNER, JACK","44,249","44,249","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","46th Senatorial District","Republican / Democratic","STOUT, J. BARRY","1,367","1,367","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Republican","EGGERT, RON","4,527","4,527","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Democratic","LAUGHLIN, SUSAN","3,096","3,096","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","WHEATLEY, JAKE","8,615","8,615","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Republican","ROMANO, ANGELO","5,176","5,176","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","WALKO, DON","10,823","10,823","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Libertarian","STUTLER, CHARLES","442","442","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Republican","DI BELLO, MARIO J.","5,276","5,276","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Democratic","PISTELLA, FRANK J.","10,952","10,952","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Republican","NAGY, GLENN P.","5,321","5,321","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Democratic","DIVEN, MICHAEL","12,548","12,548","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Democratic","FRANKEL, DAN B.","13,834","13,834","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","PRESTON, JOSEPH","10,994","10,994","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Green","WRIGHT, DUANE R.","1,779","1,779","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Republican","FERO, PAUL","4,446","4,446","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Democratic","MARKOSEK, JOSEPH F.","10,919","10,919","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Republican","O'DONNELL, EDWARD","5,603","5,603","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Democratic","PETRONE, THOMAS C.","10,634","10,634","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Republican","TURZAI, MIKE","16,802","16,802","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Republican","HABAY, JEFFREY E.","15,965","15,965","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Democratic","WAGNER, BOBBI JO","7,070","7,070","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","32nd Legislative District","Democratic","DE LUCA, ANTHONY M.","14,376","14,376","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Republican","MCDONOUGH, JAMES M.","6,131","6,131","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Democratic","DERMODY, FRANK","11,233","11,233","","","","","","","","","",""
