"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2005 Municipal Election","ADAMS","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","5,983","7,190","","","","","","","","",""
"2005 Municipal Election","ADAMS","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","5,175","7,886","","","","","","","","",""
"2005 Municipal Election","ADAMS","Judge of the Court of Common Pleas (Retention)","51st Judicial District (Adams County)","","KUHN                     , JOHN             D.","","9,314","4,068","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Justice of the Supreme Court (Retention)","StateWide","","NEWMAN                   , SANDRA           SCHULTZ","","84,768","103,055","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Justice of the Supreme Court (Retention)","StateWide","","NIGRO                    , RUSSELL          M.","","75,313","112,365","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","FRIEDMAN                 , JUDITH           L. A.","","100,505","71,953","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","KELLY                    , ROBERT           A.","","97,231","70,922","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","LITTLE                   , WALTER           R.","","89,676","77,912","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","MACHEN                   , DONALD           E.","","89,433","76,333","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","MCDANIEL                 , DONNA            JO","","103,906","68,124","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas (Retention)","5th Judicial District (Allegheny County)","","O'REILLY                 , TIMOTHY          PATRICK","","101,644","69,175","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic","FLAHERTY, TOM","105,480","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic","HENS-GRECO, KATHRYN M.","130,230","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic","HERTZBERG, ALAN","121,708","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","BORKOWSKI, EDWARD J.","166,988","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","LAZZARA, BETH","173,086","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","MARIANI, ANTHONY","164,785","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Democratic / Republican","WOODRUFF, DWAYNE D.","183,623","0","0","","","","","","","","",""
"2005 Municipal Election","ALLEGHENY","Judge of the Court of Common Pleas","5th Judicial District (Allegheny County)","Republican","CUSICK, DAN","76,190","0","0","","","","","","","","",""
