"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2009 Special Election for the 24th Senatorial District","BUCKS","Senator in the General Assembly","24th Senatorial District","Democratic","SCHEURING, ANNE HENNING","1,105","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","BUCKS","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT B.","2,597","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","BUCKS","Senator in the General Assembly","24th Senatorial District","Libertarian","STEEVER, BARBARA","112","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","LEHIGH","Senator in the General Assembly","24th Senatorial District","Democratic","SCHEURING, ANNE HENNING","1,105","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","LEHIGH","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT B.","2,342","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","LEHIGH","Senator in the General Assembly","24th Senatorial District","Libertarian","STEEVER, BARBARA","211","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","MONTGOMERY","Senator in the General Assembly","24th Senatorial District","Democratic","SCHEURING, ANNE HENNING","2,060","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","MONTGOMERY","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT B.","5,711","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","MONTGOMERY","Senator in the General Assembly","24th Senatorial District","Libertarian","STEEVER, BARBARA","163","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","NORTHAMPTON","Senator in the General Assembly","24th Senatorial District","Democratic","SCHEURING, ANNE HENNING","1,469","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","NORTHAMPTON","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT B.","1,863","0","0","","","","","","","","",""
"2009 Special Election for the 24th Senatorial District","NORTHAMPTON","Senator in the General Assembly","24th Senatorial District","Libertarian","STEEVER, BARBARA","154","0","0","","","","","","","","",""
