"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2010 General Election","ADAMS","United States Senator","StateWide","Democratic","SESTAK, JOE","3,491","0","0","","","","","","","","",""
"2010 General Election","ADAMS","United States Senator","StateWide","Democratic","SPECTER, ARLEN","1,819","0","0","","","","","","","","",""
"2010 General Election","ADAMS","United States Senator","StateWide","Republican","LUKSIK, PEG","1,536","0","0","","","","","","","","",""
"2010 General Election","ADAMS","United States Senator","StateWide","Republican","TOOMEY, PAT","7,893","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Democratic","HOEFFEL, JOSEPH M.","503","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Democratic","ONORATO, DAN","2,784","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Democratic","WAGNER, JACK","1,190","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Democratic","WILLIAMS, ANTHONY HARDY","609","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Republican","CORBETT, TOM","6,439","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Governor","StateWide","Republican","ROHRER, SAMUEL E.","3,364","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","CONKLIN, H. SCOTT","2,278","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","SAIDEL, JONATHAN A.","982","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Democratic","SMITH-RIBNER, DORIS A.","1,464","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","BEILER, CHET","2,380","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","CAWLEY, JIM","1,709","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","DIAMOND, RUSS","327","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","JOHNSON, STEVE","2,584","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","KENNEDY, JOHN","1,208","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","MCCUE, BILLY","147","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","METCALFE, DARYL","321","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","PEPPER, JEAN CRAIGE","314","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Lieutenant Governor","StateWide","Republican","URBAN, STEPHEN A.","128","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in Congress","19th Congressional District","Democratic","SANDERS, RYAN S.","4,314","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","PLATTS, TODD","6,969","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in Congress","19th Congressional District","Republican","SMELTZER, MICHAEL","2,874","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","MAITLAND, DERF W.","2,850","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL, DAN","5,492","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","STRAUSBAUGH, MIKE","1,552","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","TALLMAN, WILL","3,725","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Member of the Democratic State Committee","Adams County (District 1)","Democratic","MANNING, PATRICIA M.","4,477","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","BYERS, KEVIN T.","4,462","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","DEVINE, NADINE","6,001","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","MARTIN, VIRGINIA","4,430","0","0","","","","","","","","",""
"2010 General Election","ADAMS","Member of the Republican State Committee","Adams County (District 1)","Republican","WILSON, DANIEL","4,703","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","SESTAK, JOE","81,247","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","United States Senator","StateWide","Democratic","SPECTER, ARLEN","72,483","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","United States Senator","StateWide","Republican","LUKSIK, PEG","10,334","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","United States Senator","StateWide","Republican","TOOMEY, PAT","53,426","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Democratic","HOEFFEL, JOSEPH M.","6,146","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Democratic","ONORATO, DAN","82,012","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Democratic","WAGNER, JACK","57,600","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Democratic","WILLIAMS, ANTHONY HARDY","10,422","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Republican","CORBETT, TOM","56,057","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Governor","StateWide","Republican","ROHRER, SAMUEL E.","10,510","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","CONKLIN, H. SCOTT","45,558","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","SAIDEL, JONATHAN A.","43,664","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Democratic","SMITH-RIBNER, DORIS A.","40,380","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","BEILER, CHET","5,260","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","CAWLEY, JIM","16,252","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","DIAMOND, RUSS","1,158","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","JOHNSON, STEVE","4,028","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","KENNEDY, JOHN","5,211","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","MCCUE, BILLY","5,921","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","METCALFE, DARYL","17,993","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","PEPPER, JEAN CRAIGE","4,290","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Lieutenant Governor","StateWide","Republican","URBAN, STEPHEN A.","919","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Democratic","ALTMIRE, JASON","23,581","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","BUCHANAN, MARY BETH","8,026","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","4th Congressional District","Republican","ROTHFUS, KEITH","17,350","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","BUCCHIANERI, RYAN","102","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","CRITZ, MARK S.","430","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Democratic","MACKELL, RONALD RON","44","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","BURNS, TIM","162","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","12th Congressional District","Republican","RUSSELL, WILLIAM","86","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Democratic","DOYLE, MIKE","71,511","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","14th Congressional District","Republican","HALUSZCZAK, MELISSA","11,585","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","CONNOLLY, DAN","33,610","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Republican","MURPHY, TIM","23,923","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Democratic","FERLO, JIM","21,866","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE","14,688","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Democratic","FONTANA, WAYNE","24,952","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","46th Senatorial District","Democratic","SOLOBAY, TIMOTHY J.","501","0","0","","","","","","","","",""
"2010 General Election","ALLEGHENY","Senator in the General Assembly","46th Senatorial District","Republican","VANDERMAN, KRIS","232","0","0","","","","","","","","",""
