"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2018 Special Election 15th Congressional District","BERKS","Representative in Congress","15th Congressional District","Democratic","WILD, SUSAN","7,261","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","BERKS","Representative in Congress","15th Congressional District","Republican","NOTHSTEIN, MARTIN","12,140","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","BERKS","Representative in Congress","15th Congressional District","Libertarian","SILFIES, TIM","599","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","DAUPHIN","Representative in Congress","15th Congressional District","Democratic","WILD, SUSAN","12,615","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","DAUPHIN","Representative in Congress","15th Congressional District","Republican","NOTHSTEIN, MARTIN","16,090","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","DAUPHIN","Representative in Congress","15th Congressional District","Libertarian","SILFIES, TIM","594","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","LEBANON","Representative in Congress","15th Congressional District","Democratic","WILD, SUSAN","9,516","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","LEBANON","Representative in Congress","15th Congressional District","Republican","NOTHSTEIN, MARTIN","18,689","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","LEBANON","Representative in Congress","15th Congressional District","Libertarian","SILFIES, TIM","694","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","LEHIGH","Representative in Congress","15th Congressional District","Democratic","WILD, SUSAN","69,572","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","LEHIGH","Representative in Congress","15th Congressional District","Republican","NOTHSTEIN, MARTIN","54,186","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","LEHIGH","Representative in Congress","15th Congressional District","Libertarian","SILFIES, TIM","4,510","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","NORTHAMPTON","Representative in Congress","15th Congressional District","Democratic","WILD, SUSAN","31,389","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","NORTHAMPTON","Representative in Congress","15th Congressional District","Republican","NOTHSTEIN, MARTIN","28,489","0","0","","","","","","","","",""
"2018 Special Election 15th Congressional District","NORTHAMPTON","Representative in Congress","15th Congressional District","Libertarian","SILFIES, TIM","2,182","0","0","","","","","","","","",""
