year,month,day,electiontype,office,num candidates,percent winner won with
2018,11,6,general,U.S. Senate,65,0.21552563661310845
2018,11,6,general,Governor,127,0.16526185192772722
2018,11,6,general,U.S. House,170,0.08309022955988131
2018,11,6,general,State House,745,0.008114417047428981
2018,11,6,general,Straight Party,11,0.28547083472132123
2018,11,6,general,GOVERNOR,8,0.3368317655283488
2018,11,6,general,State Senate,113,0.04888629745397084
2018,11,6,general,State Senate�,2,0.6688372093023256
2018,11,6,general,REPRESENTATIVE IN CONGRESS,4,0.5210460014769124
2018,11,6,general,SPECIAL ELECTION REPRESENTATIVE IN CONGRESS,4,0.5639024543441735
2018,11,6,general,SENATOR IN THE GENERAL ASSEMBLY ,8,0.1778114595662429
2018,11,6,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY ,12,0.1869475350719029
2018,11,6,general,SENATOR IN THE GENERAL ASSEMBLY  ,3,0.7696293343961738
2018,11,6,general,REPRESENTATIVE IN CONGRESS DISTRICT ,2,0.538996138996139
2018,11,6,general,U. S. Senate,1,1.0
2018,11,6,general,CITY BOND QUESTION,2,0.7184273502164876
2018,11,6,general,United States Senator,4,0.6287355892997053
2018,11,6,general,State Representative,1,1.0
2018,11,6,general,Allegheny County Home Rule Charter Amend,2,0.5156173413661749
2018,11,6,general,Bethel Park Home Rule Charter Amend #1,2,0.657672093321369
2018,11,6,general,Bethel Park Home Rule Charter Amend #2,2,0.7273441078322319
2018,11,6,general,Bethel Park Home Rule Charter Amend #3,2,0.5069586438889255
2018,11,6,general,Bethel Park Home Rule Charter Amend #4,2,0.6221564140530355
2018,11,6,general,Monroeville Home Rule Charter Amend #1,2,0.575534525061339
2018,11,6,general,Monroeville Home Rule Charter Amend #2,2,0.5721330583699453
2018,11,6,general,Monroeville Home Rule Charter Amend #3,2,0.7337356882932458
2018,11,6,general,Monroeville Home Rule Charter Amend #4,2,0.7513123943411335
2018,11,6,general,Monroeville Home Rule Charter Amend #5,2,0.5719325007150348
2018,11,6,general,West Deer Home Rule Charter Amend #1,2,0.6300702028081123
2018,11,6,general,West Deer Home Rule Charter Amend #2,2,0.7109405745769383
2018,11,6,general,West Deer Home Rule Charter Amend #3,2,0.6254416961130742
2018,11,6,general,West Deer Home Rule Charter Amend #4,2,0.6591136956085824
2018,11,6,general,General Assembly,23,0.09328602675106591
2018,11,6,general,State Assembly,13,0.1626471418695902
2018,11,6,general,State Senate ,29,0.8616466318893173
2018,11,6,general,U.S. House†,4,0.6080529553899572
2018,11,6,general,SENATOR IN THE GENERAL ASSEMBLY 46TH DISTRICT,2,0.5301615015277171
2018,11,6,general,REPRESENTATIVE IN THE GEN. ASSEMBLY 16TH DISTRICT,1,1.0
2018,11,6,general,REPRESENTATIVE IN THE GEN. ASSEMBLY 15TH DISTRICT,2,0.5726980992347569
2018,11,6,general,REPRESENTATIVE IN THE GEN. ASSEMBLY 10TH DISTRICT,2,0.7390754369825207
2018,11,6,general,REPRESENTATIVE IN THE GEN. ASSEMBLY 14TH DISTRICT,2,0.6329476809665199
2020,6,2,primary,Attorney General,79,0.482619064204672
2020,6,2,primary,Auditor General,68,0.297062447990704
2020,6,2,primary,Delegate to the Democratic National Convention 12th District,9,0.1965789002328497
2020,6,2,primary,Delegate to the Democratic National Convention 9th District,7,0.24599015404160712
2020,6,2,primary,President,108,0.20718104630675024
2020,6,2,primary,U.S. House,173,0.0666268209415553
2020,6,2,primary,General Assembly,573,0.009477193074916335
2020,6,2,primary,State Senate,94,0.03533305866382586
2020,6,2,primary,State Treasurer,66,0.476075980332739
2020,6,2,primary,Alternate Delegate to the Republican National Convention 12th District,4,0.3606276371308017
2020,6,2,primary,Alternate Delegate to the Republican National Convention 9th District,4,0.3420882669537137
2020,6,2,primary,Delegate to the Republican National Convention 12th District,9,0.16365871375090799
2020,6,2,primary,Delegate to the Republican National Convention 9th District,11,0.1697467488021903
2020,6,2,primary,Delegates to the National Convention 17th District,20,0.10015893726247418
2020,6,2,primary,Delegates to the National Convention 18th District,24,0.0814279499421914
2020,6,2,primary,Alternate Delegates to the National Convention 17t,7,0.2804129995809045
2020,6,2,primary,Alternate Delegates to the National Convention 18t,6,0.42677181932223907
2020,6,2,primary,County Committeeman ALEPPO,2,0.6125
2020,6,2,primary,County Committeeman ASPINWALL DIST 1,1,1.0
2020,6,2,primary,County Committeeman ASPINWALL DIST 2,1,1.0
2020,6,2,primary,County Committeeman ASPINWALL DIST 3,1,1.0
2020,6,2,primary,County Committeeman AVALON WARD 1,1,1.0
2020,6,2,primary,County Committeeman AVALON WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman AVALON WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman AVALON WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman AVALON WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman AVALON WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 1,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 2,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 3,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 4,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 5,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 6,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 7,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 8,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 9,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 10,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 11,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 12,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 13,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 14,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 15,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 16,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 17,1,1.0
2020,6,2,primary,County Committeeman BALDWIN BR DIST 18,1,1.0
2020,6,2,primary,County Committeeman BALDWIN TP DIST 1,1,1.0
2020,6,2,primary,County Committeeman BALDWIN TP DIST 2,1,1.0
2020,6,2,primary,County Committeeman BELL ACRES,2,0.9954128440366973
2020,6,2,primary,County Committeeman BELLEVUE WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BELLEVUE WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BELLEVUE WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BELLEVUE WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BELLEVUE WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BELLEVUE WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BEN AVON DIST 1,1,1.0
2020,6,2,primary,County Committeeman BEN AVON DIST 2,1,1.0
2020,6,2,primary,County Committeeman BEN AVON HT,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 1 DIST 1,2,0.990990990990991
2020,6,2,primary,County Committeeman BETHEL PARK WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 2 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 3 DIST 2,2,0.993103448275862
2020,6,2,primary,County Committeeman BETHEL PARK WARD 3 DIST 3,2,0.9943502824858758
2020,6,2,primary,County Committeeman BETHEL PARK WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 4 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 5 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 6 DIST 2,2,0.9922480620155039
2020,6,2,primary,County Committeeman BETHEL PARK WARD 6 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 7 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 7 DIST 2,2,0.9933333333333333
2020,6,2,primary,County Committeeman BETHEL PARK WARD 7 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 8 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 8 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 8 DIST 3,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 8 DIST 4,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 9 DIST 1,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 9 DIST 2,1,1.0
2020,6,2,primary,County Committeeman BETHEL PARK WARD 9 DIST 3,2,0.9856459330143541
2020,6,2,primary,County Committeeman BLAWNOX,1,1.0
2020,6,2,primary,County Committeeman BRACKENRIDGE WARD 1,1,1.0
2020,6,2,primary,County Committeeman BRACKENRIDGE WARD 2,1,1.0
2020,6,2,primary,County Committeeman BRACKENRIDGE WARD 3,1,1.0
2020,6,2,primary,County Committeeman BRADDOCK WARD 1,1,1.0
2020,6,2,primary,County Committeeman BRADDOCK HL DIST 1,1,1.0
2020,6,2,primary,County Committeeman BRADDOCK HL DIST 2,1,1.0
2020,6,2,primary,County Committeeman BRADFORD WOODS,2,0.9800995024875622
2020,6,2,primary,County Committeeman BRENTWOOD DIST 1,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 2,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 3,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 4,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 5,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 6,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 7,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 8,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 9,1,1.0
2020,6,2,primary,County Committeeman BRENTWOOD DIST 10,1,1.0
2020,6,2,primary,County Committeeman BRIDGEVILLE DIST 1,1,1.0
2020,6,2,primary,County Committeeman BRIDGEVILLE DIST 2,1,1.0
2020,6,2,primary,County Committeeman BRIDGEVILLE DIST 3,1,1.0
2020,6,2,primary,County Committeeman BRIDGEVILLE DIST 4,1,1.0
